,Restaurant Name,Rating,Review Count,Expected Cost,Price Range,Cuisines,Accepts Credit Cards,Address,Alcohol,Ambience,Attire,Bike Parking,Caters,Delivery,Good For,Good for Groups,Good for Kids,Has TV,Noise Level,Outdoor Seating,Parking,Take-out,Takes Reservations,Waiter Service,Wheelchair Accessible,Wi-Fi,Review Count Num,Clean Rating
101,Citrus Restaurant,4.0 star rating,101 reviews,$$,,"['Indian', 'Thai']",Yes,"555 Passaic AveWest Caldwell, NJ 07006",No,Casual,Casual,Yes,Yes,Yes,"Lunch, Dinner",Yes,Yes,Yes,Quiet,No,Private Lot,Yes,Yes,Yes,Yes,Free,101.0,4.0
102,Clifton Thai,4.5 star rating,188 reviews,$$,,['Thai'],Yes,"239 Parker AveClifton, NJ 07011",,Casual,Casual,Yes,Yes,Yes,"Lunch, Dinner",Yes,Yes,Yes,Average,No,Street,Yes,Yes,Yes,,No,188.0,4.5
103,Coco South East Asian Cuisine,3.5 star rating,167 reviews,$$,,"['Thai', 'Malaysian']",Yes,"8269 BroadwayElmhurst, NY 11373",Beer & Wine Only,Casual,Casual,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,No,Average,No,Street,Yes,No,Yes,Yes,No,167.0,3.5
104,D & B Thai & Chinese Cuisine,2.5 star rating,8 reviews,$$,$11-30,['Thai'],Yes,"15828 Crossbay BlvdHoward Beach, NY 11414",,,Casual,,,,,Yes,Yes,No,,,,Yes,No,No,,,8.0,2.5
105,D & Y Kitchen,4.0 star rating,15 reviews,$,,"['Thai', 'Chinese']",Yes,"1266 Peninsula BlvdHewlett, NY 11557",No,,Casual,No,,Yes,,No,Yes,No,,No,,Yes,No,,,No,15.0,4.0
106,Dannee,4.0 star rating,43 reviews,$$,$11-30,['Thai'],Yes,"433 Dekalb AveBrooklyn, NY 11205",Beer & Wine Only,Hipster,Casual,Yes,Yes,Yes,"Lunch, Dinner",Yes,Yes,No,Quiet,No,Street,Yes,Yes,Yes,,Free,43.0,4.0
107,DD Thai Cuisine,4.0 star rating,141 reviews,$$,$11-30,['Thai'],Yes,"184 W Passaic StRochelle Park, NJ 07662",No,Casual,Casual,No,No,Yes,"Lunch, Dinner",Yes,Yes,Yes,Quiet,No,Private Lot,Yes,Yes,Yes,Yes,No,141.0,4.0
108,Dee Thai Restaurant,4.0 star rating,308 reviews,$$,$11-30,['Thai'],Yes,"46-17 Queens BlvdSunnyside, NY 11104",Full Bar,Casual,Casual,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,No,Average,No,Street,Yes,Yes,Yes,Yes,No,308.0,4.0
109,Dek Sen,4.5 star rating,42 reviews,$$,,['Thai'],No,"8608 Whitney AveElmhurst, NY 11373",No,Casual,Casual,Yes,No,Yes,"Lunch, Dinner, Dessert",No,Yes,Yes,Average,No,Street,Yes,No,Yes,,No,42.0,4.5
110,Don Muang Airport,5.0 star rating,4 reviews,,,"['Thai', 'Burgers', 'Chicken Wings']",Yes,"146 BroadwayBrooklyn, NY 11211",,,,,,,,Yes,No,,,,,,,,,,4.0,5.0
111,Double Ai,4.0 star rating,92 reviews,$$,,"['Chinese', 'Japanese', 'Thai']",Yes,"107 Terhune DrWayne, NJ 07470",No,Casual,Casual,Yes,Yes,Yes,"Lunch, Dinner",Yes,Yes,Yes,Average,Yes,"Valet, Private Lot",Yes,Yes,Yes,Yes,Free,92.0,4.0
112,Durian,4.0 star rating,48 reviews,$$,,['Thai'],Yes,"147 Chatsworth AveLarchmont, NY 10538",Full Bar,Casual,Casual,Yes,Yes,Yes,"Lunch, Dinner",No,No,No,Average,Yes,Street,Yes,Yes,Yes,,Free,48.0,4.0
113,East Garden Asian Cuisine,3.0 star rating,5 reviews,$,,"['Thai', 'Chinese']",No,"2072 Flatbush AveBrooklyn, NY 11234",No,,Casual,Yes,No,Yes,,No,Yes,No,,No,,Yes,No,No,Yes,No,5.0,3.0
114,East Pacific Pan-Asian Bistro,3.5 star rating,140 reviews,$$,$11-30,"['Asian Fusion', 'Japanese', 'Thai']",Yes,"120 E 34th StNew York, NY 10016",Full Bar,Casual,Casual,Yes,Yes,Yes,Dinner,Yes,Yes,Yes,Average,No,Street,Yes,Yes,Yes,Yes,No,140.0,3.5
115,East Pacific Restaurant,3.5 star rating,100 reviews,$$,,"['Asian Fusion', 'Thai']",Yes,"2655 Richmond AveStaten Island, NY 10314",Full Bar,Casual,Casual,Yes,Yes,Yes,"Lunch, Dinner",Yes,Yes,Yes,Average,No,Private Lot,Yes,Yes,Yes,Yes,No,100.0,3.5
116,East Village Thai,4.0 star rating,173 reviews,$$,,['Thai'],No,"32 E 7th StNew York, NY 10003",No,Divey,Casual,Yes,Yes,Yes,"Lunch, Dinner",No,No,No,Quiet,No,Street,Yes,No,Yes,No,No,173.0,4.0
117,Eim Khao Mun Kai Elmhurst,4.0 star rating,163 reviews,$,,"['Thai', 'Hainan']",No,"81-32 BroadwayElmhurst, NY 11373",No,Casual,Casual,No,No,Yes,"Lunch, Dinner",No,Yes,No,Average,No,Street,Yes,No,Yes,,No,163.0,4.0
118,Empire,2.0 star rating,17 reviews,$$,,"['Sushi Bars', 'Thai', 'Chinese']",Yes,"8 Murray StManhattan, NY 10007",No,,Casual,,,Yes,,Yes,Yes,No,Average,No,,Yes,No,Yes,,,17.0,2.0
119,Enthaice Thai Kitchen,4.0 star rating,506 reviews,$$,,['Thai'],Yes,"33-20 31st AveAstoria, NY 11106",Full Bar,Intimate,Casual,Yes,Yes,Yes,Dinner,Yes,Yes,No,Average,Yes,Street,Yes,No,Yes,Yes,No,506.0,4.0
120,Enthaice,3.5 star rating,197 reviews,$$,$11-30,['Thai'],Yes,"1598 3rd AveNew York, NY 10128",Beer & Wine Only,Casual,Casual,Yes,Yes,Yes,"Lunch, Dinner",No,Yes,No,Average,No,Street,Yes,Yes,Yes,,No,197.0,3.5
121,Erawan Thai Cuisine,3.5 star rating,241 reviews,$$,,['Thai'],Yes,"4231 Bell BlvdBayside, NY 11361",Full Bar,Romantic,Casual,Yes,Yes,No,Dinner,Yes,No,Yes,Average,No,Street,Yes,Yes,Yes,Yes,No,241.0,3.5
122,Erb Thai,2.5 star rating,110 reviews,$$,$11-30,['Thai'],Yes,"681 Manhattan AveBrooklyn, NY 11222",No,,Casual,Yes,Yes,Yes,Lunch,Yes,Yes,No,Quiet,No,Street,Yes,No,Yes,Yes,Free,110.0,2.5
123,Esan Thai Food,4.0 star rating,48 reviews,$$,$11-30,['Thai'],Yes,"51-20 Skillman AveWoodside, NY 11377",No,Casual,Casual,Yes,,Yes,"Lunch, Dinner",No,Yes,No,Quiet,No,Street,Yes,No,Yes,,No,48.0,4.0
124,Esanation,3.5 star rating,114 reviews,$$,$11-30,['Thai'],Yes,"750 9th AveNew York, NY 10019",Beer & Wine Only,Trendy,Casual,Yes,No,Yes,Dinner,Yes,No,No,Average,No,,Yes,Yes,Yes,,No,114.0,3.5
125,Fish Cheeks,4.0 star rating,45 reviews,$$$,,"['Seafood', 'Thai']",Yes,"55 Bond StNew York, NY 10012",Full Bar,Casual,Casual,No,No,No,Dinner,Yes,No,No,Average,No,,Yes,Yes,Yes,,No,45.0,4.0
126,Five Stars Thai Cuisine,4.0 star rating,264 reviews,$$,$11-30,"['Thai', 'Vegetarian']",Yes,"324 29th StUnion City, NJ 07087",No,Casual,Casual,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,Yes,Quiet,No,Street,Yes,Yes,Yes,Yes,Free,264.0,4.0
127,Food Idea,,,,,['Thai'],,"681 Manhattan AveBrooklyn, NY 11222",,,,,,,,,,,,,,,,,,,,
128,Forest Thai Cuisine,3.5 star rating,89 reviews,$$,,['Thai'],Yes,"1211 Forest AveStaten Island, NY 10310",Beer & Wine Only,Casual,Casual,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,No,Quiet,No,Street,Yes,No,Yes,Yes,No,89.0,3.5
129,Fortune House,3.0 star rating,74 reviews,$$,,"['Chinese', 'Thai']",Yes,"82 Henry StBrooklyn, NY 11201",Full Bar,Casual,Casual,Yes,Yes,Yes,"Lunch, Dinner",Yes,Yes,No,Average,No,Street,Yes,No,Yes,No,No,74.0,3.0
130,Frankly Thai,4.0 star rating,271 reviews,$$,,['Thai'],Yes,"959 Hempstead TpkeFranklin Square, NY 11010",No,Casual,Casual,Yes,No,No,"Lunch, Dinner",Yes,Yes,No,Average,No,Private Lot,Yes,Yes,Yes,Yes,No,271.0,4.0
131,Fulton Thai,3.0 star rating,87 reviews,$,,['Thai'],Yes,"848 Fulton StBrooklyn, NY 11238",Beer & Wine Only,Hipster,Casual,Yes,Yes,Yes,Dinner,No,Yes,No,Quiet,No,Street,Yes,No,Yes,Yes,No,87.0,3.0
132,Galanga,3.5 star rating,380 reviews,$$,$11-30,['Thai'],No,"149 W 4th StNew York, NY 10012",Full Bar,Casual,Casual,Yes,No,Yes,Dinner,Yes,Yes,No,Average,No,Street,Yes,Yes,Yes,No,No,380.0,3.5
133,Galangal,2.5 star rating,82 reviews,$$,,['Thai'],Yes,"630 Old Country RdGarden City, NY 11530",No,Casual,Casual,No,No,No,,Yes,Yes,No,Average,Yes,"Valet, Garage",Yes,No,No,Yes,Free,82.0,2.5
134,Gan Asia,2.0 star rating,33 reviews,$$,$11-30,"['Chinese', 'Kosher', 'Thai']",Yes,"691 Amsterdam AveNew York, NY 10025",No,Casual,Casual,Yes,Yes,Yes,"Lunch, Dinner",No,No,No,Quiet,No,,Yes,No,No,Yes,No,33.0,2.0
135,Gaw Gai,3.5 star rating,134 reviews,$,,['Thai'],No,"23-06 Jackson AveLong Island City, NY 11101",No,Casual,Casual,Yes,Yes,Yes,Lunch,No,No,No,Average,No,Street,Yes,No,No,,No,134.0,3.5
136,Ghang Thai Kitchen,3.5 star rating,149 reviews,$$,$11-30,['Thai'],Yes,"229 Court StBrooklyn, NY 11201",Full Bar,Trendy,Casual,Yes,Yes,Yes,Dinner,Yes,Yes,Yes,Average,Yes,Street,Yes,Yes,Yes,,No,149.0,3.5
137,Ginger and Lemongrass,4.0 star rating,131 reviews,$$,,"['Vietnamese', 'Thai', 'Coffee & Tea']",Yes,"1008 Clintonville StWhitestone, NY 11357",No,"Hipster, Casual, Trendy",Casual,No,No,No,"Brunch, Lunch, Dinner",No,Yes,No,Average,No,Street,Yes,No,Yes,,No,131.0,4.0
138,Glow Thai and Japanese,3.5 star rating,119 reviews,$$,$11-30,"['Japanese', 'Thai']",Yes,"214 Jericho TpkeFloral Park, NY 11001",Beer & Wine Only,Casual,Casual,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,Yes,Quiet,No,Street,Yes,Yes,Yes,Yes,No,119.0,3.5
139,Glow Thai,3.5 star rating,176 reviews,$$,,"['Thai', 'Cocktail Bars']",Yes,"7107 3rd AveBrooklyn, NY 11209",Full Bar,Intimate,Casual,Yes,Yes,Yes,Dinner,Yes,Yes,No,Average,No,Street,Yes,Yes,Yes,No,Free,176.0,3.5
140,Go Go Thai,3.5 star rating,228 reviews,$$,$11-30,['Thai'],Yes,"144 W 19th StNew York, NY 10011",Beer & Wine Only,Casual,Casual,Yes,No,Yes,Dinner,No,Yes,No,Quiet,No,Street,Yes,No,Yes,Yes,No,228.0,3.5
141,Golden Dragon,3.5 star rating,61 reviews,$,Under $10,"['Chinese', 'Thai']",No,"3406 31st AveAstoria, NY 11106",No,Casual,Casual,Yes,Yes,Yes,"Lunch, Dinner",Yes,Yes,No,Average,No,Street,Yes,No,No,No,Paid,61.0,3.5
142,Golden Way,3.5 star rating,26 reviews,$,Under $10,"['Chinese', 'Thai']",Yes,"13309 Cross Bay BlvdOzone Park, NY 11417",No,,Casual,No,Yes,Yes,Lunch,Yes,Yes,No,Quiet,No,,Yes,No,Yes,,No,26.0,3.5
143,Gong Modern Thai Dining,4.0 star rating,173 reviews,$$,,['Thai'],Yes,"173 E 99th StNew York, NY 10029",No,,Casual,Yes,No,Yes,"Lunch, Dinner",No,Yes,No,Quiet,No,Street,Yes,Yes,Yes,Yes,No,173.0,4.0
144,Green Lake Restaurant,3.0 star rating,38 reviews,$,Under $10,"['Chinese', 'Thai']",Yes,"795 Flatbush AveBrooklyn, NY 11226",No,Divey,Casual,Yes,No,Yes,Lunch,Yes,Yes,Yes,Average,No,Street,Yes,No,No,Yes,No,38.0,3.0
145,Green Leaf,3.5 star rating,34 reviews,$,,"['Thai', 'Szechuan']",No,"72-60 Metropolitan AveMiddle Village, NY 11379",No,,Casual,Yes,Yes,Yes,,No,Yes,No,Quiet,No,,Yes,No,Yes,,,34.0,3.5
146,Harvest Chinese & Thai Cuisine,3.5 star rating,49 reviews,$,,"['Thai', 'Chinese']",Yes,"1502 1st AveNew York, NY 10075",No,Casual,Casual,Yes,No,Yes,"Lunch, Dinner",No,Yes,No,Average,No,,Yes,No,No,,No,49.0,3.5
147,Herbs Thai Bistro,4.0 star rating,77 reviews,$$,$11-30,['Thai'],Yes,"251 E 45th StSte 1New York, NY 10017",No,Casual,Casual,No,Yes,Yes,Lunch,No,Yes,No,Average,No,Street,Yes,No,No,Yes,Free,77.0,4.0
148,Hi Noodle Etc,3.5 star rating,73 reviews,$$,$11-30,"['Thai', 'Noodles']",Yes,"333 Graham AveBrooklyn, NY 11211",Full Bar,Casual,Casual,Yes,Yes,Yes,Lunch,Yes,Yes,Yes,Average,No,Street,Yes,Yes,Yes,,Free,73.0,3.5
149,Hive Thai Cooking,3.0 star rating,54 reviews,$$,,['Thai'],Yes,"71-60 Yellowstone BlvdNew York, NY 11375",No,Casual,Casual,Yes,No,Yes,"Lunch, Dinner",No,Yes,No,Average,No,Street,Yes,No,No,Yes,No,54.0,3.0
150,Honey’s Thai Pavilion,3.5 star rating,174 reviews,$$,$11-30,['Thai'],Yes,"3036 Westchester AveBronx, NY 10461",Beer & Wine Only,Casual,Casual,No,Yes,Yes,Dinner,Yes,Yes,Yes,Average,No,Street,Yes,Yes,Yes,Yes,No,174.0,3.5
151,Hot Ginger Japanese Asian Fusion,4.0 star rating,140 reviews,$$,$11-30,"['Asian Fusion', 'Japanese', 'Thai']",Yes,"73-32 Bell BlvdOakland Gardens, NY 11364",Beer & Wine Only,Intimate,Casual,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,Yes,Average,No,"Street, Private Lot",Yes,Yes,Yes,Yes,Free,140.0,4.0
152,House of Thai,4.0 star rating,129 reviews,$$,,['Thai'],Yes,"2501 40th AveLong Island City, NY 11101",Beer & Wine Only,Casual,Casual,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,No,Average,No,Street,Yes,Yes,Yes,,No,129.0,4.0
153,Hunan Wok,3.5 star rating,30 reviews,$,Under $10,"['Chinese', 'Thai']",Yes,"186 Columbia TpkeFlorham Park, NJ 07932",No,Casual,Casual,No,,Yes,Lunch,No,Yes,No,Quiet,No,Private Lot,Yes,No,Yes,Yes,No,30.0,3.5
154,Hungry?,5.0 star rating,23 reviews,$,Under $10,"['Cajun/Creole', 'Thai', 'American (Traditional)']",Yes,"77 Norman AveStore 1Brooklyn, NY 11222",No,,Casual,No,No,Yes,,No,Yes,No,Quiet,No,Street,Yes,No,No,Yes,No,23.0,5.0
155,I Am Thai Restaurant,4.0 star rating,219 reviews,$$,,"['Thai', 'Seafood', 'Vegan']",Yes,"49-08 43rd AveWoodside, NY 11377",No,Casual,Casual,Yes,Yes,Yes,"Lunch, Dinner",No,Yes,Yes,Average,No,Street,Yes,No,No,Yes,No,219.0,4.0
156,Ichiban 18 Asian Cuisine,3.5 star rating,60 reviews,$$,$11-30,"['Japanese', 'Sushi Bars', 'Thai']",Yes,"1020 Rte 18East Brunswick, NJ 08816",Full Bar,Casual,Casual,Yes,Yes,Yes,Dinner,Yes,Yes,Yes,Average,No,Private Lot,Yes,Yes,Yes,Yes,No,60.0,3.5
157,Imocha,4.5 star rating,154 reviews,$$,,['Thai'],Yes,"970 McBride AveWoodland Park, NJ 07424",No,Casual,Casual,Yes,Yes,No,"Lunch, Dinner",Yes,Yes,No,Quiet,No,"Street, Private Lot",Yes,Yes,Yes,Yes,Free,154.0,4.5
158,Inaka Sushi,4.5 star rating,104 reviews,$$,$11-30,"['Japanese', 'Thai', 'Sushi Bars']",Yes,"8318 3rd AveBrooklyn, NY 11209",Full Bar,Romantic,Casual,Yes,Yes,Yes,"Lunch, Dinner",Yes,Yes,Yes,Quiet,No,Street,Yes,Yes,Yes,,Free,104.0,4.5
159,Island Thai Street Food,4.0 star rating,1 review,,,"['Thai', 'Food Stands']",,"New York, NY 10022",,,,,,,,,,,,,,,,,,,1.0,4.0
160,Izu,3.0 star rating,3 reviews,$$,,"['Japanese', 'Thai']",Yes,"9 E 13th StNew York, NY 10003",,,,,,,,,,,,,,,,,,,3.0,3.0
161,Jai Dee Restaurant,3.5 star rating,63 reviews,$$,$11-30,['Thai'],Yes,"420 7th AveBrooklyn, NY 11215",Beer & Wine Only,Casual,Casual,Yes,Yes,Yes,Dinner,Yes,Yes,Yes,Quiet,No,Street,Yes,Yes,Yes,Yes,Free,63.0,3.5
162,Jaidee Thai Food,3.5 star rating,8 reviews,,,['Thai'],Yes,"673 Main StHackensack, NJ 07601",No,,,,Yes,Yes,,,,Yes,Quiet,,,Yes,,Yes,,,8.0,3.5
163,Jaiya Thai,3.5 star rating,593 reviews,$$,,['Thai'],Yes,"396 3rd AveNew York, NY 10016",Full Bar,Casual,Casual,Yes,No,Yes,Dinner,Yes,Yes,Yes,Average,No,Street,Yes,Yes,Yes,Yes,No,593.0,3.5
164,Jaiya,3.5 star rating,209 reviews,$$,,"['Thai', 'Asian Fusion']",Yes,"1553 2nd AveNew York, NY 10075",Full Bar,Trendy,Casual,Yes,No,Yes,Dinner,Yes,No,No,Average,No,Street,Yes,Yes,Yes,,No,209.0,3.5
165,Jeaw Hon New York,4.0 star rating,5 reviews,$$,,"['Thai', 'Hot Pot']",No,"71-30 Roosevelt AveQueens, NY 11372",No,,Casual,Yes,,No,,Yes,Yes,Yes,Average,No,,No,No,,,,5.0,4.0
166,Jin Sushi & Thai,3.5 star rating,34 reviews,$$,$11-30,"['Japanese', 'Thai', 'Sushi Bars']",Yes,"1708 E 16th StBrooklyn, NY 11229",No,Casual,Casual,Yes,No,Yes,Dinner,Yes,Yes,No,Average,No,Street,Yes,No,Yes,,No,34.0,3.5
167,Joey Thai,3.5 star rating,90 reviews,$$,$11-30,['Thai'],Yes,"338 Bloomfield AveMontclair, NJ 07042",No,Casual,Casual,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,Yes,Quiet,No,Street,Yes,Yes,Yes,,No,90.0,3.5
168,Joy Hing,3.0 star rating,6 reviews,$,,"['Chinese', 'Thai']",,"2449 Jericho TpkeSte ANew Hyde Park, NY 11040",No,,Casual,,,,,Yes,Yes,,,No,,,No,No,Yes,,6.0,3.0
169,Joya,4.0 star rating,1061 reviews,$$,,['Thai'],Yes,"215 Ct StBrooklyn, NY 11201",Full Bar,Trendy,Casual,Yes,No,Yes,Dinner,Yes,Yes,No,Average,Yes,Street,Yes,No,Yes,Yes,No,1061.0,4.0
170,Just Salad,2.5 star rating,5 reviews,$$,,"['Thai', 'Mediterranean', 'Asian Fusion']",Yes,"1306 1st AveManhattan, NY 10021",,,Casual,,,Yes,,No,Yes,No,,Yes,,Yes,No,,,,5.0,2.5
171,Kare Thai,3.5 star rating,75 reviews,$$,$11-30,['Thai'],Yes,"752 10th AveNew York, NY 10019",Beer & Wine Only,Casual,Casual,Yes,No,Yes,Lunch,Yes,Yes,No,Average,No,,Yes,Yes,Yes,,No,75.0,3.5
172,Kati Thai Cuisine,3.5 star rating,184 reviews,$$,$11-30,['Thai'],Yes,"347 E 14th StNew York, NY 10003",Beer & Wine Only,Casual,Casual,Yes,Yes,Yes,"Lunch, Dinner",Yes,Yes,No,Average,No,Street,Yes,Yes,Yes,Yes,No,184.0,3.5
173,Khao Gang,4.5 star rating,2 reviews,,,['Thai'],,"Woodside Ave 77 StGrymes Hill, NY 10304",,,,,,,,,,,,,,,,,,,2.0,4.5
174,Khao Kang,4.0 star rating,134 reviews,$,,['Thai'],No,"7620 Woodside AveElmhurst, NY 11373",No,Casual,Casual,No,Yes,No,"Lunch, Dinner",No,Yes,No,Average,No,Street,Yes,No,No,,No,134.0,4.0
175,Khao Man Gai NY,4.0 star rating,34 reviews,$,,['Thai'],Yes,"31-00 47th AveLong Island City, NY 11101",No,Casual,Casual,Yes,Yes,No,Lunch,Yes,Yes,No,Average,No,,Yes,No,No,,No,34.0,4.0
176,Khao Sarn,3.5 star rating,230 reviews,$$,$11-30,['Thai'],No,"338 Bedford AveBrooklyn, NY 11211",Full Bar,Casual,Casual,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,No,Average,No,Street,Yes,No,Yes,Yes,No,230.0,3.5
177,Khao Thai Kitchen,3.5 star rating,110 reviews,$$,$11-30,"['Thai', 'Asian Fusion']",Yes,"235 Sullivan StNew York, NY 10012",No,Casual,Casual,Yes,No,Yes,Lunch,Yes,Yes,No,Average,No,Garage,Yes,Yes,Yes,Yes,Free,110.0,3.5
178,Khao Tip Thai Cuisine,4.0 star rating,100 reviews,$$,,['Thai'],Yes,"2111 Hamburg TpkeWayne, NJ 07470",No,Casual,Casual,Yes,No,No,Lunch,Yes,Yes,No,Average,No,Private Lot,Yes,Yes,Yes,Yes,No,100.0,4.0
179,Khe-Yo,4.0 star rating,430 reviews,$$$,$31-60,"['Thai', 'Laotian', 'Vietnamese']",Yes,"157 Duane StNew York, NY 10013",Full Bar,Trendy,Casual,Yes,Yes,Yes,Dinner,Yes,No,No,Average,No,Street,Yes,Yes,Yes,,Free,430.0,4.0
180,Khun Thai Restaurant,3.5 star rating,86 reviews,$$,,['Thai'],Yes,"504 Millburn AveMillburn, NJ 07078",No,Casual,Casual,Yes,Yes,No,Dinner,Yes,Yes,No,Average,Yes,Street,Yes,Yes,Yes,Yes,No,86.0,3.5
181,Kiin Thai Eatery,3.5 star rating,166 reviews,$$,$11-30,['Thai'],Yes,"36 E 8th StNew York, NY 10003",Full Bar,Casual,Casual,Yes,Yes,Yes,"Lunch, Dinner",Yes,Yes,No,Average,No,Street,Yes,Yes,Yes,,Free,166.0,3.5
182,King Taste Restaurant,3.0 star rating,10 reviews,$,Under $10,"['Japanese', 'Thai', 'Chinese']",Yes,"352 Main StOrange, NJ 07050",No,,Casual,No,Yes,Yes,,Yes,Yes,No,Quiet,No,,Yes,No,No,,No,10.0,3.0
183,Kitchen 79,4.5 star rating,320 reviews,$$,$11-30,['Thai'],Yes,"37-70 79th StJackson Heights, NY 11372",Beer & Wine Only,Trendy,Casual,Yes,Yes,Yes,"Lunch, Dinner",Yes,Yes,Yes,Average,No,Street,Yes,Yes,Yes,No,No,320.0,4.5
184,Kitchen Thai,3.0 star rating,10 reviews,$$,,['Thai'],Yes,"271 Prospect Park WBrooklyn, NY 11215",,,Casual,,,,,No,Yes,,,,,,,,,,10.0,3.0
185,Klong,3.5 star rating,852 reviews,$$,$11-30,['Thai'],Yes,"7 St Marks PlNew York, NY 10003",Full Bar,Trendy,Casual,Yes,No,Yes,Dinner,Yes,No,No,Average,No,Street,Yes,Yes,Yes,No,No,852.0,3.5
186,Koi Sushi & Hibachi,3.5 star rating,37 reviews,$$,,"['Sushi Bars', 'Thai', 'Asian Fusion']",Yes,"2780 NJ-35Hazlet, NJ 07730",No,,Casual,No,Yes,No,,Yes,Yes,No,Average,No,Private Lot,Yes,Yes,Yes,,,37.0,3.5
187,Kunya Siam,4.0 star rating,85 reviews,$$,,['Thai'],Yes,"99 1st AveAtlantic Highlands, NJ 07716",No,Casual,Casual,Yes,No,No,Dinner,Yes,Yes,No,Average,No,Street,Yes,Yes,Yes,,No,85.0,4.0
188,Kyoto Sushi 8,4.5 star rating,19 reviews,$$,,"['Japanese', 'Thai', 'Sushi Bars']",Yes,"537C Inman AveColonia, NJ 07067",Beer & Wine Only,,Casual,No,,No,"Lunch, Dinner",Yes,Yes,Yes,Quiet,No,,Yes,Yes,Yes,Yes,,19.0,4.5
189,Lan Larb Soho,3.5 star rating,134 reviews,$$,$11-30,['Thai'],Yes,"227 Centre StNew York, NY 10013",No,Casual,Casual,Yes,Yes,Yes,"Lunch, Dinner",Yes,Yes,No,Average,No,Street,Yes,Yes,Yes,,Free,134.0,3.5
190,Lan Larb,4.0 star rating,139 reviews,$$,$11-30,['Thai'],Yes,"637 2nd AveNew York, NY 10016",Beer & Wine Only,Casual,Casual,Yes,Yes,Yes,Lunch,Yes,Yes,No,Average,No,Street,Yes,Yes,Yes,,No,139.0,4.0
191,Land,4.0 star rating,850 reviews,$$,,['Thai'],Yes,"450 Amsterdam AveNew York, NY 10024",Full Bar,Casual,Casual,Yes,Yes,Yes,Dinner,No,No,No,Average,Yes,Street,Yes,No,Yes,No,No,850.0,4.0
192,Lantern Thai,3.5 star rating,299 reviews,$$,,['Thai'],Yes,"311 2nd AveNew York, NY 10003",Full Bar,Casual,Casual,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,No,Average,No,Street,Yes,Yes,Yes,Yes,No,299.0,3.5
193,Lantern,3.5 star rating,354 reviews,$$,,['Thai'],Yes,"101 Montague StBrooklyn, NY 11201",Full Bar,Casual,Casual,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,Yes,Average,Yes,Street,Yes,Yes,Yes,Yes,No,354.0,3.5
194,Larb Ubol,4.0 star rating,502 reviews,$$,,['Thai'],Yes,"480 9th AveNew York, NY 10018",Beer & Wine Only,Casual,Casual,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,No,Average,No,Street,Yes,Yes,Yes,,No,502.0,4.0
195,Laut,3.5 star rating,826 reviews,$$,,"['Thai', 'Malaysian', 'Asian Fusion']",Yes,"15 E 17th StNew York, NY 10003",Full Bar,Casual,Casual,Yes,Yes,Yes,Dinner,Yes,Yes,No,Average,No,Street,Yes,Yes,Yes,Yes,No,826.0,3.5
196,Laverne,4.0 star rating,82 reviews,$$,$11-30,"['Japanese', 'Thai']",Yes,"9 Cutter Mill RdGreat Neck, NY 11021",Beer & Wine Only,Casual,Casual,Yes,Yes,Yes,"Lunch, Dinner",Yes,Yes,No,Quiet,Yes,Street,Yes,Yes,Yes,,Free,82.0,4.0
197,Lemon Grass Thai & Chinese,3.5 star rating,46 reviews,$$,$11-30,"['Thai', 'Chinese']",Yes,"2710 Long Beach RdOceanside, NY 11572",Full Bar,Casual,Casual,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,Yes,Average,No,,Yes,Yes,Yes,,No,46.0,3.5
198,Lemon Leaf Thai Restaurant,3.0 star rating,101 reviews,$$,,['Thai'],Yes,"197 Mineola BlvdMineola, NY 11501",Full Bar,Casual,Casual,Yes,Yes,Yes,"Lunch, Dinner",Yes,Yes,Yes,Quiet,No,Street,Yes,Yes,Yes,Yes,No,101.0,3.0
199,Lemongrass Grill,,,,,['Thai'],,"9 E 13th StNew York, NY 10003",,,,,,,,,,,,,,,,,,,,
200,Leng Thai,3.5 star rating,376 reviews,$$,$11-30,"['Thai', 'Asian Fusion']",Yes,"3309 BroadwayAstoria, NY 11106",Beer & Wine Only,Trendy,Casual,Yes,No,Yes,Dinner,Yes,Yes,No,Average,Yes,Street,Yes,No,Yes,Yes,No,376.0,3.5
201,Lily Thai,3.5 star rating,168 reviews,$$,$11-30,['Thai'],Yes,"615 Grand StBrooklyn, NY 11211",Beer & Wine Only,Casual,Casual,Yes,,Yes,Dinner,Yes,Yes,No,Quiet,No,Street,Yes,No,Yes,Yes,No,168.0,3.5
